date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:12	10316/10316	---M--	200	added ('OK')	text/html	etag:%22284c-593479e19b800%22	https://selab.hanyang.ac.kr/courses/cse326/2019/labs/lab0-introduction.html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/labs/lab0-introduction.html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:12	282988/282988	---M--	200	added ('OK')	application/javascript	etag:%224516c-4f5541d459500%22	https://selab.hanyang.ac.kr/common/scripts/jquery-1.10.2.js	C:/WEBAPP/wow/selab.hanyang.ac.kr/common/scripts/jquery-1.10.2.js	(from https://selab.hanyang.ac.kr/login/index.php?source=/index.php)
16:36:12	12205/12205	---M--	200	added ('OK')	text/html	etag:%222fad-59347bcbcbc80%22	https://selab.hanyang.ac.kr/courses/cse326/2019/labs/lab1-aboutme(HTML).html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/labs/lab1-aboutme(HTML).html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:13	7715/7715	---M--	200	added ('OK')	text/html	etag:%221e23-59347bcea8340%22	https://selab.hanyang.ac.kr/courses/cse326/2019/labs/lab2-aboutme(CSS).html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/labs/lab2-aboutme(CSS).html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:13	12720/12720	---M--	200	added ('OK')	text/html	etag:%2231b0-5934800bf03c0%22	https://selab.hanyang.ac.kr/courses/cse326/2019/labs/lab3-favorite.html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/labs/lab3-favorite.html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:13	3189/3189	---M--	200	added ('OK')	image/png	etag:%22c75-4f34702ad9300%22	https://selab.hanyang.ac.kr/login/style/user_icon.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/login/style/user_icon.png	(from https://selab.hanyang.ac.kr/login/style/login.css)
16:36:14	3172/3172	---M--	200	added ('OK')	image/png	etag:%22c64-4f34702ad9300%22	https://selab.hanyang.ac.kr/login/style/passwd_icon.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/login/style/passwd_icon.png	(from https://selab.hanyang.ac.kr/login/style/login.css)
16:36:14	3154/3154	---M--	200	added ('OK')	image/png	etag:%22c52-4f34702ad9300%22	https://selab.hanyang.ac.kr/login/style/user_icon_focus.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/login/style/user_icon_focus.png	(from https://selab.hanyang.ac.kr/login/style/login.css)
16:36:14	3071/3071	---M--	200	added ('OK')	image/png	etag:%22bff-4f34702ad9300%22	https://selab.hanyang.ac.kr/login/style/passwd_icon_focus.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/login/style/passwd_icon_focus.png	(from https://selab.hanyang.ac.kr/login/style/login.css)
16:36:14	3229/3229	---M--	200	added ('OK')	image/png	etag:%22c9d-4f34702ad9300%22	https://selab.hanyang.ac.kr/login/style/login_button.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/login/style/login_button.png	(from https://selab.hanyang.ac.kr/login/style/login.css)
16:36:15	3070/3070	---M--	200	added ('OK')	image/png	etag:%22bfe-4f34702ad9300%22	https://selab.hanyang.ac.kr/login/style/login_button_hover.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/login/style/login_button_hover.png	(from https://selab.hanyang.ac.kr/login/style/login.css)
16:36:15	2857/2857	---M--	200	added ('OK')	image/png	etag:%22b29-51e2a056c5a00%22	https://selab.hanyang.ac.kr/courses/images/list-img.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/images/list-img.png	(from https://selab.hanyang.ac.kr/courses/styles/course-home.css)
16:36:15	240/240	---M--	200	added ('OK')	text/css	etag:%22f0-558075abe7580%22	https://selab.hanyang.ac.kr/courses/cse326/2019/project/ui/default/slides.css	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/project/ui/default/slides.css	(from https://selab.hanyang.ac.kr/courses/cse326/2019/project/project.html)
16:36:15	766/766	---M--	200	added ('OK')	text/css	etag:%222fe-558075abe7580%22	https://selab.hanyang.ac.kr/courses/cse326/2019/project/ui/default/outline.css	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/project/ui/default/outline.css	(from https://selab.hanyang.ac.kr/courses/cse326/2019/project/project.html)
16:36:16	6769/6769	---M--	200	added ('OK')	text/css	etag:%221a71-558075abe7580%22	https://selab.hanyang.ac.kr/courses/cse326/2019/project/ui/default/print.css	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/project/ui/default/print.css	(from https://selab.hanyang.ac.kr/courses/cse326/2019/project/project.html)
